mtcn,transactiontype,location_id,locationname,reccountry,paycountry,account,direction,address,loccurrencycode,payprincipalusd,subagentcommchargesusd,subagentcommfxusd,shareoffxusd,shareofchargesusd,payprincipalloc,subagentcommfxloc,subagentcommchargesloc,shareoffxloc,shareofchargesloc,recprincipalusd,totalchargesusd,recprincipalloc,totalchargesloc,recdate,paydate,setdate,repdate
9989364631,T,114,EQUINOXES VOYAGES SENEGAL SARL,FRANCE,SENEGAL,ADJ062534,I,"KAWSARA LAYE CAMBERENE, SI857802, DAKAR,",EUR,248.4,0.4,0.0,0.0,0.57,228.67,0.0,0.36,0.0,0.52,248.4,4.24,228.67,3.9,2024-07-11,2024-07-12,2024-07-12,2024-07-12
7936606547,T,1159,GUEYE KHADIM KHAIRA USINE KHOROM,FRANCE,SENEGAL,ADJ430243,I,KHAIRA 2 PRES DE USINE KHOROM,EUR,49.82,0.27,0.0,0.0,0.31,45.73,0.0,0.25,0.0,0.29,49.82,2.17,45.73,1.99,2024-07-12,2024-07-12,2024-07-12,2024-07-12
3373456459,T,788,SECK FATOU MICROCRED,BELGIUM,SENEGAL,ADJ353946,I,TOUBA 1001 EN FACE MICROCRED,EUR,66.43,0.11,0.0,0.0,0.13,60.98,0.0,0.1,0.0,0.12,66.43,1.08,60.98,0.99,2024-07-12,2024-07-12,2024-07-12,2024-07-12
166714466,T,814,DEFA GROUPE ALMADIES2,ITALY,SENEGAL,ADJ354727,I,KEUR MASSAR ALMADIES 2,EUR,33.21,0.41,0.0,0.0,0.47,30.49,0.0,0.37,0.0,0.44,33.21,3.16,30.49,2.9,2024-07-12,2024-07-12,2024-07-12,2024-07-12
9807827583,T,757,PFC SAINT LOUIS,GABON,SENEGAL,ADJ353584,I,AVENUE DE GAULLE FACE EDK,EUR,182.68,1.37,0.0,0.0,1.37,167.69,0.0,1.26,0.0,1.26,182.68,9.13,167.69,8.38,2024-07-12,2024-07-12,2024-07-12,2024-07-12
7539188732,T,420,MBAYE AMY,ITALY,SENEGAL,ADJ067562,I,U21 PARCELLES ASSAINIES COTE DISPENSAIRE NORADE,EUR,205.94,0.51,0.0,0.0,0.73,190.57,0.0,0.47,0.0,0.67,205.93,4.86,190.56,4.5,2024-07-10,2024-07-12,2024-07-12,2024-07-12
6346279957,T,887,LY TIDIANE NIANG,FRANCE,SENEGAL,ADJ355366,I,PRES PHARMACIE BENE TALLY,EUR,96.95,0.28,0.0,0.0,0.33,89.0,0.0,0.26,0.0,0.3,96.95,2.17,89.0,1.99,2024-07-12,2024-07-12,2024-07-12,2024-07-12
1431418388,T,72,SOULEYMANE DIALLO MEDINA,ITALY,SENEGAL,ADJ063678,I,"RUE 15 X 16 MEDINA, DAKAR,",EUR,33.21,0.34,0.0,0.0,0.47,30.49,0.0,0.31,0.0,0.44,33.21,3.16,30.49,2.9,2024-07-12,2024-07-12,2024-07-12,2024-07-12
5999224244,T,816,DEFA GROUPE SEDIMA,GREECE,SENEGAL,ADJ354695,I,ROND POINT SEDIMA,EUR,33.91,0.11,0.0,0.0,0.13,31.22,0.0,0.1,0.0,0.12,33.91,0.85,31.22,0.78,2024-07-11,2024-07-12,2024-07-12,2024-07-12
7287665737,T,816,DEFA GROUPE SEDIMA,UNITED STATES OF AMERICA,SENEGAL,ADJ354695,I,ROND POINT SEDIMA,EUR,140.34,1.02,1.23,1.45,1.2,128.83,1.13,0.94,1.33,1.1,150.0,8.0,137.69,7.34,2024-07-12,2024-07-12,2024-07-12,2024-07-12
9737770660,T,822,NDIAYE DAOUDA BS SEDIMA,UNITED STATES OF AMERICA,SENEGAL,ADJ353463,I,EN FACE SEDIMA JAXAAY,EUR,24.96,0.64,0.01,0.01,0.75,22.98,0.01,0.59,0.01,0.69,25.0,5.0,23.01,4.6,2024-07-11,2024-07-12,2024-07-12,2024-07-12
9165076740,T,587,HORIZON HLM,PORTUGAL,SENEGAL,ADJ350097,I,HLM FACE AUCHAN,EUR,32.95,0.73,0.0,0.0,0.76,30.49,0.0,0.67,0.0,0.71,32.95,5.09,30.49,4.71,2024-07-10,2024-07-12,2024-07-12,2024-07-12
9123996714,T,997,FALL ADAMA GRDYOFF TECNO,ITALY,SENEGAL,ADJ357818,I,GRAND YOFF CITE MILLIONNAIRE,EUR,51.31,0.43,0.0,0.0,0.47,47.1,0.0,0.4,0.0,0.44,51.31,3.16,47.1,2.9,2024-07-12,2024-07-12,2024-07-12,2024-07-12
5921955206,T,816,DEFA GROUPE SEDIMA,FRANCE,SENEGAL,ADJ354695,I,ROND POINT SEDIMA,EUR,282.43,1.46,0.0,0.0,1.71,260.0,0.0,1.34,0.0,1.58,282.43,11.41,260.0,10.5,2024-07-11,2024-07-12,2024-07-12,2024-07-12
2277034997,T,211,FALILOU NDIAYE PA,SENEGAL,FRANCE,ADJ064646,O,UNITE 14 PARCELLES ASSAINIES,EUR,156.0,0.82,0.0,0.0,1.17,143.2,0.0,0.76,0.0,1.08,156.0,7.81,143.2,7.17,2024-07-12,2024-07-12,2024-07-12,2024-07-12
5264305823,T,628,HORIZON MBOUR TEFESS,SPAIN,SENEGAL,ADJ068914,I,MBOUR TEFESS,EUR,33.78,0.61,0.0,0.0,0.64,31.1,0.0,0.56,0.0,0.59,33.78,4.24,31.1,3.9,2024-07-11,2024-07-12,2024-07-12,2024-07-12
5001400568,T,1004,DIALLO A KORKA TTERHAT SHOP,FRANCE,SENEGAL,ADJ358260,I,115 KEUR MASSAR COTE TTERHAT SHOP,EUR,46.84,0.27,0.0,0.0,0.31,43.0,0.0,0.25,0.0,0.29,46.84,2.07,43.0,1.9,2024-07-12,2024-07-12,2024-07-12,2024-07-12
616040606,T,513,HORIZON MARCHE STLOUIS,ITALY,SENEGAL,ADJ068958,I,EN FACE MARCHE CENTRAL DE SAINT LOUIS,EUR,41.19,0.45,0.0,0.0,0.47,38.11,0.0,0.41,0.0,0.43,41.18,3.13,38.11,2.9,2024-07-10,2024-07-12,2024-07-12,2024-07-12
2269463256,T,960,PFC SOMONE,FRANCE,SENEGAL,ADJ357379,I,SOMONE PRES DE LA PHARMACIE,EUR,163.41,1.05,0.0,0.0,1.05,150.0,0.0,0.96,0.0,0.96,163.4,6.97,150.0,6.4,2024-07-12,2024-07-12,2024-07-12,2024-07-12
3469286843,T,599,SIDIBE SEYDOU NGUINTH,FRANCE,SENEGAL,ADJ350295,I,NGUINTH EXTENSION FACE PHARMACIE,EUR,98.85,0.2,0.0,0.0,0.28,91.47,0.0,0.18,0.0,0.26,98.85,2.05,91.47,1.9,2024-07-10,2024-07-12,2024-07-12,2024-07-12
4077194387,T,1164,SENE GLOBAL SERVICES FACE TRESOR,SENEGAL,CAMEROON,ADJ431178,O,MARCHE CENTRAL TRESOR,EUR,33.21,0.1,0.0,0.0,0.12,30.49,0.0,0.09,0.0,0.11,33.21,0.82,30.49,0.76,2024-07-12,2024-07-12,2024-07-12,2024-07-12
6335191269,T,85,FATOU SEMBENE,CONGO,SENEGAL,ADJ062590,I,"149 CITE EL HADJI MALICK SY, OUAKAM EXTENSION, LIMITS SI998574, DAKAR, DAKAR,",EUR,457.57,2.88,0.0,0.0,4.12,420.03,0.0,2.65,0.0,3.78,457.57,27.45,420.03,25.2,2024-07-12,2024-07-12,2024-07-12,2024-07-12
9600996978,T,816,DEFA GROUPE SEDIMA,SPAIN,SENEGAL,ADJ354695,I,ROND POINT SEDIMA,EUR,813.76,1.53,0.0,0.0,1.8,747.0,0.0,1.4,0.0,1.65,813.76,11.98,747.0,11.0,2024-07-12,2024-07-12,2024-07-12,2024-07-12
7632855758,T,834,SECK FATOU,FRANCE,SENEGAL,ADJ353935,I,"MBACKE ESCALE, COTE DU RAIL",EUR,83.16,0.22,0.0,0.0,0.26,77.0,0.0,0.2,0.0,0.24,83.16,2.05,77.0,1.9,2024-07-09,2024-07-12,2024-07-12,2024-07-12
1149609171,T,1057,SEYE AMY KOTHIARY,ITALY,SENEGAL,ADJ358808,I,"ROND POINT GARAGE KOTHIARY, TAMBA",EUR,212.37,0.63,0.0,0.0,0.73,195.5,0.0,0.58,0.0,0.68,212.37,4.89,195.5,4.5,2024-07-11,2024-07-12,2024-07-12,2024-07-12
2495362126,T,949,DIENG FALILOU GALASS POSTE SANTE,FRANCE,SENEGAL,ADJ357094,I,QUARTIER DEPOT EN FACE POSTE SANTE,EUR,33.12,0.26,0.0,0.0,0.31,30.49,0.0,0.24,0.0,0.28,33.12,2.06,30.49,1.9,2024-07-11,2024-07-12,2024-07-12,2024-07-12
3279722122,T,569,GUEYE FATY GUEDE 2,ITALY,SENEGAL,ADJ069795,I,MARCHE GUEDE 2,EUR,49.68,0.42,0.0,0.0,0.47,45.73,0.0,0.39,0.0,0.43,49.68,3.15,45.73,2.9,2024-07-11,2024-07-12,2024-07-12,2024-07-12
9329674602,T,271,HORIZON CENTRE VILLE,SPAIN,SENEGAL,ADJ065977,I,"CENTRE VILLE EN FACE RESTO BLUE BIRD, KAOLACK.",EUR,83.04,0.78,0.0,0.0,0.82,76.23,0.0,0.71,0.0,0.75,83.03,5.45,76.22,5.0,2024-07-12,2024-07-12,2024-07-12,2024-07-12
869419009,T,982,BEYE & FRERES CITE ASECNA,FRANCE,SENEGAL,ADJ357236,I,CITE ASECNA YEUMBEUL,EUR,141.22,0.51,0.0,0.0,0.6,130.0,0.0,0.47,0.0,0.55,141.22,4.24,130.0,3.9,2024-07-11,2024-07-12,2024-07-12,2024-07-12
7786175576,T,997,FALL ADAMA GRDYOFF TECNO,ITALY,SENEGAL,ADJ357818,I,GRAND YOFF CITE MILLIONNAIRE,EUR,290.63,0.95,0.0,0.0,1.06,266.79,0.0,0.87,0.0,0.97,290.63,7.08,266.79,6.5,2024-07-12,2024-07-12,2024-07-12,2024-07-12
8049577537,T,85,FATOU SEMBENE,SENEGAL,CAMEROON,ADJ062590,O,"149 CITE EL HADJI MALICK SY, OUAKAM EXTENSION, LIMITS SI998574, DAKAR, DAKAR,",EUR,86.36,0.44,0.0,0.0,0.63,79.28,0.0,0.41,0.0,0.58,86.36,4.23,79.28,3.89,2024-07-12,2024-07-12,2024-07-12,2024-07-12
1909566940,T,815,DEFA GROUPE DIAKHAYE,ITALY,SENEGAL,ADJ354705,I,DIAKHAYE COTE CLINIQUE,EUR,32.95,0.4,0.0,0.0,0.47,30.49,0.0,0.37,0.0,0.43,32.95,3.13,30.49,2.9,2024-07-10,2024-07-12,2024-07-12,2024-07-12
3536878613,T,1015,DEFA GROUPE BONGRE,GABON,SENEGAL,ADJ354673,I,BONGRE A COTE DE P12,EUR,1162.51,7.41,0.0,0.0,8.72,1067.14,0.0,6.8,0.0,8.0,1162.51,58.13,1067.14,53.36,2024-07-12,2024-07-12,2024-07-12,2024-07-12
57121558,T,1145,SYLLA MAIMOUNA,FRANCE,SENEGAL,ADJ430177,I,TAMBA FACE POSTE DE SANTE,EUR,166.07,0.89,0.0,0.0,1.05,152.45,0.0,0.82,0.0,0.96,166.07,6.97,152.45,6.4,2024-07-12,2024-07-12,2024-07-12,2024-07-12
6991572507,T,835,DANFA MARIAMA GNANA,ITALY,SENEGAL,ADJ354530,I,"UNITE 15,  PARCELLES ASSAINIES",EUR,212.97,0.62,0.0,0.0,0.74,195.5,0.0,0.57,0.0,0.67,212.97,4.9,195.5,4.5,2024-07-12,2024-07-12,2024-07-12,2024-07-12
6938889909,T,837,TAKKOU LIGUEYE,ITALY,SENEGAL,ADJ352033,I,"KEUR MASSAR, TIVAOUNE PEULH",EUR,32.96,0.4,0.0,0.0,0.47,30.49,0.0,0.37,0.0,0.43,32.96,3.13,30.49,2.9,2024-07-07,2024-07-12,2024-07-12,2024-07-12
6166552454,T,521,TOUFA MULTISERVICES,SWITZERLAND,SENEGAL,ADJ069180,I,CAPSKIRING COTE CBAO,EUR,166.07,0.29,1.11,1.59,0.41,152.45,1.02,0.27,1.46,0.38,176.67,4.45,162.18,4.09,2024-07-12,2024-07-12,2024-07-12,2024-07-12
4842814755,T,792,MBAYE CHEIKH MODOU MARCHE SOR,CENTRAL AFRICA,SENEGAL,ADJ353814,I,MARCHE SOR SAINT LOUIS,EUR,537.07,4.23,0.0,0.0,4.98,493.01,0.0,3.88,0.0,4.57,537.07,33.21,493.01,30.49,2024-07-12,2024-07-12,2024-07-12,2024-07-12
6280584725,T,816,DEFA GROUPE SEDIMA,CANADA,SENEGAL,ADJ354695,I,ROND POINT SEDIMA,EUR,68.93,0.55,0.56,0.65,0.64,63.46,0.51,0.5,0.6,0.59,73.24,5.49,67.42,5.06,2024-07-11,2024-07-12,2024-07-12,2024-07-12
6129108240,T,860,NDIAYE DAOUDA BS CASTORS,FRANCE,SENEGAL,ADJ353496,I,EN FACE BRIOCHE DOREE CASTORS,EUR,71.9,0.47,0.0,0.0,0.56,66.0,0.0,0.43,0.0,0.51,71.9,3.7,66.0,3.4,2024-07-12,2024-07-12,2024-07-12,2024-07-12
8267812248,T,997,FALL ADAMA GRDYOFF TECNO,FRANCE,SENEGAL,ADJ357818,I,GRAND YOFF CITE MILLIONNAIRE,EUR,217.26,0.94,0.0,0.0,1.04,200.01,0.0,0.86,0.0,0.96,217.25,6.95,200.0,6.4,2024-07-11,2024-07-12,2024-07-12,2024-07-12
6259341541,T,814,DEFA GROUPE ALMADIES2,SPAIN,SENEGAL,ADJ354727,I,KEUR MASSAR ALMADIES 2,EUR,257.09,0.56,0.0,0.0,0.65,236.0,0.0,0.51,0.0,0.6,257.09,4.36,236.0,4.0,2024-07-12,2024-07-12,2024-07-12,2024-07-12
6753961771,T,85,FATOU SEMBENE,GERMANY,SENEGAL,ADJ062590,I,"149 CITE EL HADJI MALICK SY, OUAKAM EXTENSION, LIMITS SI998574, DAKAR, DAKAR,",EUR,490.22,0.11,0.0,0.0,0.16,450.0,0.0,0.11,0.0,0.15,490.21,1.08,450.0,0.99,2024-07-12,2024-07-12,2024-07-12,2024-07-12
8083703876,T,816,DEFA GROUPE SEDIMA,CAMEROON,SENEGAL,ADJ354695,I,ROND POINT SEDIMA,EUR,231.84,0.89,0.0,0.0,1.04,213.43,0.0,0.82,0.0,0.96,231.84,6.96,213.43,6.4,2024-07-11,2024-07-12,2024-07-12,2024-07-12
7814989428,T,508,HORIZON PA U3,ITALY,SENEGAL,ADJ068882,I,PARCELLES ASSAINIES UNITE 3,EUR,73.1,0.46,0.0,0.0,0.47,67.1,0.0,0.42,0.0,0.44,73.1,3.16,67.1,2.9,2024-07-12,2024-07-12,2024-07-12,2024-07-12
5430933681,T,730,FALL ADAMA ECOLE PRIMAIRE,FRANCE,SENEGAL,ADJ352385,I,BALA EN FACE ECOLE PRIMAIRE,EUR,49.68,0.27,0.0,0.0,0.31,45.73,0.0,0.25,0.0,0.28,49.68,2.06,45.73,1.9,2024-07-11,2024-07-12,2024-07-12,2024-07-12
1091154076,T,742,DIOP CHEIKH LAMP MARNANE,ITALY,SENEGAL,ADJ351494,I,DAROU MARNANE MARCHE,EUR,58.13,0.34,0.0,0.0,0.47,53.36,0.0,0.31,0.0,0.44,58.13,3.16,53.36,2.9,2024-07-12,2024-07-12,2024-07-12,2024-07-12
4025636823,T,21,SAHM MUSIC SAHM,ITALY,SENEGAL,ADJ063173,I,"MARCHE SAM, SI857802, DAKAR, GUEDIAWAYE,",EUR,166.07,0.51,0.0,0.0,0.74,152.45,0.0,0.47,0.0,0.67,166.07,4.9,152.45,4.5,2024-07-12,2024-07-12,2024-07-12,2024-07-12
7394801190,T,835,DANFA MARIAMA GNANA,FRANCE,SENEGAL,ADJ354530,I,"UNITE 15,  PARCELLES ASSAINIES",EUR,65.91,0.47,0.0,0.0,0.55,60.98,0.0,0.43,0.0,0.51,65.91,3.67,60.98,3.4,2024-07-06,2024-07-12,2024-07-12,2024-07-12
3005587791,T,856,FALL ADAMA TAMBA DEPOT,SPAIN,SENEGAL,ADJ355146,I,TAMBA QT DEPOT FACE MOSQUEE MOURIDE,EUR,86.9,0.59,0.0,0.0,0.65,80.0,0.0,0.54,0.0,0.6,86.9,4.35,80.0,4.0,2024-07-11,2024-07-12,2024-07-12,2024-07-12
8571667831,T,1204,SEMBENE FATOU DIAMNIADIO,ITALY,SENEGAL,ADJ431233,I,DIAMNIADIO SUD PRES FERRAILLEURS,EUR,993.61,2.57,0.0,0.0,3.67,914.7,0.0,2.36,0.0,3.37,993.6,24.44,914.69,22.5,2024-07-11,2024-07-12,2024-07-12,2024-07-12
3509766196,T,161,CHEIKH LAMP DIOP NOUVELLE GARE,ITALY,SENEGAL,ADJ062918,I,"GARE ROUTIERE, SI857802, DIOURBEL, TOUBA,",EUR,190.98,0.51,0.0,0.0,0.74,175.31,0.0,0.47,0.0,0.67,190.99,4.9,175.32,4.5,2024-07-12,2024-07-12,2024-07-12,2024-07-12
1765939433,T,815,DEFA GROUPE DIAKHAYE,ITALY,SENEGAL,ADJ354705,I,DIAKHAYE COTE CLINIQUE,EUR,207.0,0.63,0.0,0.0,0.73,190.56,0.0,0.58,0.0,0.68,207.0,4.89,190.56,4.5,2024-07-11,2024-07-12,2024-07-12,2024-07-12
5782481657,T,1101,DEFA GROUPE FACE SEDIMA,CONGO,SENEGAL,ADJ356938,I,"KEUR MASSAR, FACE PORTE SEDIMA",EUR,106.77,0.81,0.0,0.0,0.96,98.01,0.0,0.75,0.0,0.88,106.77,6.41,98.01,5.88,2024-07-12,2024-07-12,2024-07-12,2024-07-12
2446799514,T,760,NEW VISION MULTISERVICES,QATAR,SENEGAL,ADJ353331,I,GARAGE MARCHE KHELCOM,EUR,265.44,1.4,4.41,5.18,1.64,243.66,4.05,1.28,4.76,1.51,300.0,10.96,275.39,10.06,2024-07-12,2024-07-12,2024-07-12,2024-07-12
3417076503,T,815,DEFA GROUPE DIAKHAYE,CAMEROON,SENEGAL,ADJ354705,I,DIAKHAYE COTE CLINIQUE,EUR,199.29,0.76,0.0,0.0,0.9,182.94,0.0,0.7,0.0,0.82,199.29,5.98,182.94,5.49,2024-07-12,2024-07-12,2024-07-12,2024-07-12
5612190615,T,770,SARR ABDOULAYE MADYANA,GREECE,SENEGAL,ADJ353386,I,MADYANA APRES LA BOULANGERIE,EUR,217.87,0.69,0.0,0.0,0.82,200.0,0.0,0.64,0.0,0.75,217.87,5.45,200.0,5.0,2024-07-12,2024-07-12,2024-07-12,2024-07-12
193789099,T,560,LOM & SINE BUSINESS,GABON,SENEGAL,ADJ069487,I,VILLA 501 CAMBERENE 2,EUR,99.64,0.53,0.0,0.0,0.75,91.47,0.0,0.48,0.0,0.69,99.64,4.98,91.47,4.57,2024-07-12,2024-07-12,2024-07-12,2024-07-12
5465903665,T,146,PAPE IBRAHIMA KH DIOP GM,ITALY,SENEGAL,ADJ063919,I,"884 GRAND MBAO EXTENSION, DAKAR, DAKAR,",EUR,108.63,0.33,0.0,0.0,0.47,100.0,0.0,0.3,0.0,0.43,108.63,3.15,100.0,2.9,2024-07-11,2024-07-12,2024-07-12,2024-07-12
5765953403,T,770,SARR ABDOULAYE MADYANA,ITALY,SENEGAL,ADJ353386,I,MADYANA APRES LA BOULANGERIE,EUR,108.94,0.41,0.0,0.0,0.47,100.0,0.0,0.37,0.0,0.44,108.94,3.16,100.0,2.9,2024-07-12,2024-07-12,2024-07-12,2024-07-12
8629599665,T,867,NDIAYE DAOUDA BS ZAC TAPIS ROUGE,FRANCE,SENEGAL,ADJ353540,I,ZAC MBAO EN FACE TAPIS ROUGE,EUR,124.57,0.53,0.0,0.0,0.62,114.35,0.0,0.48,0.0,0.57,124.57,4.35,114.35,3.99,2024-07-12,2024-07-12,2024-07-12,2024-07-12
6762340105,T,1162,ALLIANCE BAZICS IMMO FASS,CANADA,SENEGAL,ADJ430979,I,2 VOIES PAILLOTE,EUR,51.43,0.56,0.35,0.41,0.66,47.35,0.32,0.52,0.38,0.61,54.19,4.39,49.89,4.05,2024-07-11,2024-07-12,2024-07-12,2024-07-12
9475586095,T,1094,SECK MAR SANTHIABA,ITALY,SENEGAL,ADJ358215,I,"SANTHIABA PRES DE LA PHARMACIE, ST LOUIS",EUR,207.59,0.62,0.0,0.0,0.74,190.56,0.0,0.57,0.0,0.67,207.59,4.9,190.56,4.5,2024-07-12,2024-07-12,2024-07-12,2024-07-12
125723173,T,858,KANE THIERNO HAMET,ITALY,SENEGAL,ADJ354552,I,QUARTIER OUKAZA EN FACE RADIO DAAKA FM,EUR,18.52,0.28,0.0,0.0,0.33,17.0,0.0,0.26,0.0,0.3,18.52,2.18,17.0,2.0,2024-07-12,2024-07-12,2024-07-12,2024-07-12
6419150452,T,1101,DEFA GROUPE FACE SEDIMA,ITALY,SENEGAL,ADJ356938,I,"KEUR MASSAR, FACE PORTE SEDIMA",EUR,83.04,0.41,0.0,0.0,0.47,76.23,0.0,0.37,0.0,0.44,83.03,3.16,76.22,2.9,2024-07-12,2024-07-12,2024-07-12,2024-07-12
6883234900,T,835,DANFA MARIAMA GNANA,FRANCE,SENEGAL,ADJ354530,I,"UNITE 15,  PARCELLES ASSAINIES",EUR,83.04,0.26,0.0,0.0,0.3,76.23,0.0,0.24,0.0,0.28,83.03,2.17,76.22,1.99,2024-07-12,2024-07-12,2024-07-12,2024-07-12
1336319281,T,816,DEFA GROUPE SEDIMA,ITALY,SENEGAL,ADJ354695,I,ROND POINT SEDIMA,EUR,41.4,0.4,0.0,0.0,0.47,38.11,0.0,0.37,0.0,0.43,41.4,3.15,38.11,2.9,2024-07-11,2024-07-12,2024-07-12,2024-07-12
8611493215,T,837,TAKKOU LIGUEYE,ITALY,SENEGAL,ADJ352033,I,"KEUR MASSAR, TIVAOUNE PEULH",EUR,373.14,0.9,0.0,0.0,1.06,343.51,0.0,0.82,0.0,0.97,373.13,7.06,343.5,6.5,2024-07-11,2024-07-12,2024-07-12,2024-07-12
7791636224,T,1164,SENE GLOBAL SERVICES FACE TRESOR,ITALY,SENEGAL,ADJ431178,I,MARCHE CENTRAL TRESOR,EUR,223.56,0.9,0.0,0.0,1.06,205.81,0.0,0.82,0.0,0.97,223.57,7.06,205.81,6.5,2024-07-11,2024-07-12,2024-07-12,2024-07-12
2812421267,T,322,ETS TOUBA TRANSFERT PIKINE TIGO,ITALY,SENEGAL,ADJ066428,I,PIKINE EN FACE AGENCE  TIGO,EUR,166.07,0.51,0.0,0.0,0.74,152.45,0.0,0.47,0.0,0.67,166.07,4.9,152.45,4.5,2024-07-12,2024-07-12,2024-07-12,2024-07-12
7029540980,T,815,DEFA GROUPE DIAKHAYE,GABON,SENEGAL,ADJ354705,I,DIAKHAYE COTE CLINIQUE,EUR,249.11,1.59,0.0,0.0,1.87,228.67,0.0,1.46,0.0,1.72,249.11,12.46,228.67,11.43,2024-07-12,2024-07-12,2024-07-12,2024-07-12
765879337,T,860,NDIAYE DAOUDA BS CASTORS,ITALY,SENEGAL,ADJ353496,I,EN FACE BRIOCHE DOREE CASTORS,EUR,415.18,0.9,0.0,0.0,1.06,381.12,0.0,0.82,0.0,0.97,415.18,7.08,381.12,6.5,2024-07-12,2024-07-12,2024-07-12,2024-07-12
6679487456,T,168,ALMANZIL TRAVEL,SENEGAL,CAMEROON,ADJ063953,O,MERMOZ COMICO,EUR,33.21,0.08,0.0,0.0,0.12,30.49,0.0,0.08,0.0,0.11,33.21,0.82,30.49,0.76,2024-07-12,2024-07-12,2024-07-12,2024-07-12
8734175767,T,496,ETS DARADJI SINDICAT,ITALY,SENEGAL,ADJ067979,I,PIKINE ICOTAF FACE MARCHE SYNDICAT,EUR,51.31,0.43,0.0,0.0,0.47,47.1,0.0,0.4,0.0,0.44,51.31,3.16,47.1,2.9,2024-07-12,2024-07-12,2024-07-12,2024-07-12
7891224824,T,816,DEFA GROUPE SEDIMA,SPAIN,SENEGAL,ADJ354695,I,ROND POINT SEDIMA,EUR,103.49,0.69,0.0,0.0,0.82,95.0,0.0,0.64,0.0,0.75,103.49,5.45,95.0,5.0,2024-07-12,2024-07-12,2024-07-12,2024-07-12
